Gender,Age,Annual Income,Willing Amount,Profession,MobileOS,Main reason,Gaming,Photography,Camera,Battery Life,Processor,Memory,Screen Resolution,Smartphone
Male,20-30,"below € 10,000",below € 300,Photographer,Android,Price,No,No,No,Yes,No,No,No,Asus Zenfone 6
Male,20-30,"below € 10,000",below € 300,Student,Android,Features,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Asus Zenfone 6
Female,20-30,"below € 10,000",below € 300,IT,Android,Price,Yes,No,No,Yes,Yes,Yes,No,BQ Aquaris X Pro
Female,20-30,"€ 10,000-€20,000",below € 300,Student,Android,Features,No,Yes,Yes,Yes,No,Yes,No,Coolpad cool1
Female,20-30,"below € 10,000",below € 300,Student,Android,Price,No,Yes,Yes,No,No,No,No,Coolpad cool1
Male,20-30,"below € 10,000",below € 300,Student,Android,Price,No,No,No,No,No,No,No,Coolpad cool1
Female,Less than 20,"below € 10,000",below € 300,Student,Windows,Price,No,No,No,No,No,No,No,Coolpad cool1
Female,20-30,"above € 20,000",€300-€700,Accountant,Android,Features,No,Yes,Yes,Yes,No,Yes,No,Gionee A1
Female,20-30,"below € 10,000",€300-€700,Health Professional,Android,Price,Yes,No,No,No,No,No,No,Gionee A1
Female,20-30,"below € 10,000",€300-€700,Student,Android,Features,No,No,Yes,Yes,No,Yes,No,Gionee A1
Female,20-30,"below € 10,000",€300-€700,Student,Android,Price,No,Yes,Yes,Yes,No,No,No,Gionee A1
Male,20-30,"below € 10,000",below € 300,Student,Android,Features,Yes,No,Yes,Yes,Yes,Yes,No,Gionee A1
Male,20-30,"€ 10,000-€20,000",below € 300,Professor,Android,Features,No,No,No,Yes,No,No,No,Gionee Elife E6
Male,20-30,"above € 20,000",above €700,IT,Android,Brand,Yes,Yes,Yes,Yes,Yes,Yes,No,Google Pixel 3 XL
Male,20-30,"below € 10,000",€300-€700,IT,Android,Features,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Google Pixel 3 XL
Male,20-30,"€ 10,000-€20,000",above €700,Photographer,Android,Brand,No,No,Yes,Yes,Yes,Yes,Yes,Google Pixel 3 XL
Male,20-30,"above € 20,000",above €700,Photographer,Android,Features,No,Yes,Yes,No,No,No,No,Google Pixel 3 XL
Male,20-30,"below € 10,000",below € 300,Professor,Android,Features,No,No,Yes,No,No,Yes,No,Honor 7x
Male,20-30,"below € 10,000",below € 300,IT,Android,Price,No,No,No,No,No,No,No,HTC U12 life
Female,20-30,"below € 10,000",below € 300,Health Professional,Android,Price,No,No,Yes,No,No,Yes,No,Huawei Mate 20 Lite
Female,20-30,"below € 10,000",€300-€700,Student,Android,Features,No,No,Yes,Yes,Yes,Yes,Yes,Huawei Mate 20 Lite
Female,20-30,"below € 10,000",€300-€700,Student,Android,Features,No,Yes,Yes,Yes,Yes,Yes,Yes,Huawei Mate 20 Lite
Female,20-30,"below € 10,000",€300-€700,Student,Android,Price,No,Yes,Yes,No,No,Yes,No,Huawei Mate 20 Lite
Female,20-30,"below € 10,000",€300-€700,Student,Android,Features,No,No,Yes,Yes,No,Yes,No,Huawei Mate 20 Lite
Male,20-30,"below € 10,000",€300-€700,Student,Android,Features,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Huawei Mate 20 Lite
Male,20-30,"below € 10,000",€300-€700,IT,Android,Brand,No,No,Yes,Yes,Yes,Yes,Yes,Huawei Nexus 6P
Male,20-30,"below € 10,000",€300-€700,IT,Android,Brand,No,No,Yes,No,No,No,No,Huawei Nexus 6P
Female,20-30,"below € 10,000",€300-€700,Student,Android,Brand,No,No,Yes,No,No,No,No,Huawei Nexus 6P
Female,20-30,"below € 10,000",€300-€700,Student,Android,Brand,No,Yes,Yes,Yes,No,Yes,Yes,Huawei Nexus 6P
Female,20-30,"below € 10,000",€300-€700,Student,Android,Features,No,No,Yes,Yes,No,Yes,No,Huawei Nexus 6P
Female,20-30,"below € 10,000",€300-€700,Student,Android,Features,No,Yes,Yes,Yes,No,Yes,No,Huawei Nexus 6P
Male,30-40,"below € 10,000",€300-€700,IT,Android,Features,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Huawei Nexus 6P
Female,30-40,"below € 10,000",€300-€700,Student,Android,Features,No,No,Yes,Yes,Yes,Yes,Yes,Huawei Nexus 6P
Female,30-40,"below € 10,000",€300-€700,Student,Android,Features,No,Yes,Yes,Yes,No,Yes,No,Huawei Nexus 6P
Male,20-30,"below € 10,000",below € 300,Student,Android,Features,No,Yes,Yes,Yes,No,No,No,Huawei Nova 3i
Male,20-30,"below € 10,000",below € 300,Student,Android,Features,No,Yes,Yes,Yes,No,No,No,Huawei Nova 3i
Male,20-30,"below € 10,000",below € 300,Student,Android,Price,No,No,No,Yes,No,No,No,Huawei Nova 3i
Male,20-30,"below € 10,000",below € 300,Student,Android,Price,No,Yes,Yes,No,No,No,No,Huawei Nova 3i
Male,20-30,"below € 10,000",below € 300,Student,Android,Price,Yes,Yes,Yes,Yes,Yes,No,No,Huawei Nova 2s
Male,30-40,"above € 20,000",below € 300,Student,Android,Price,No,Yes,Yes,No,No,No,No,Huawei Nova 2s
Male,Less than 20,"below € 10,000",below € 300,Student,Android,Brand,No,No,Yes,No,No,Yes,No,Huawei Nova 2s
Male,20-30,"below € 10,000",above €700,IT,Android,Features,No,Yes,Yes,No,No,Yes,No,Huawei P20 Pro
